timestamp, name, pci.bus_id, driver_version, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB]
2023/12/12 09:18:18.884, NVIDIA A40, 00000000:A1:00.0, 545.23.08, 26, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 09:18:18.885, NVIDIA A40, 00000000:C1:00.0, 545.23.08, 25, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 09:18:18.886, NVIDIA A40, 00000000:E1:00.0, 545.23.08, 64, 98 %, 58 %, 46068 MiB, 8294 MiB
2023/12/12 09:19:18.887, NVIDIA A40, 00000000:01:00.0, 545.23.08, 31, 6 %, 0 %, 46068 MiB, 45102 MiB
2023/12/12 09:19:18.888, NVIDIA A40, 00000000:23:00.0, 545.23.08, 25, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 09:19:18.895, NVIDIA A40, 00000000:41:00.0, 545.23.08, 38, 0 %, 0 %, 46068 MiB, 35101 MiB
2023/12/12 09:19:18.896, NVIDIA A40, 00000000:61:00.0, 545.23.08, 66, 100 %, 92 %, 46068 MiB, 8757 MiB
2023/12/12 09:19:18.896, NVIDIA A40, 00000000:81:00.0, 545.23.08, 38, 31 %, 22 %, 46068 MiB, 35169 MiB
2023/12/12 09:19:18.897, NVIDIA A40, 00000000:A1:00.0, 545.23.08, 26, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 09:19:18.897, NVIDIA A40, 00000000:C1:00.0, 545.23.08, 25, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 09:19:18.898, NVIDIA A40, 00000000:E1:00.0, 545.23.08, 65, 100 %, 46 %, 46068 MiB, 8294 MiB
2023/12/12 09:20:18.899, NVIDIA A40, 00000000:01:00.0, 545.23.08, 31, 0 %, 0 %, 46068 MiB, 45100 MiB
2023/12/12 09:20:18.899, NVIDIA A40, 00000000:23:00.0, 545.23.08, 25, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 09:20:18.900, NVIDIA A40, 00000000:41:00.0, 545.23.08, 39, 8 %, 6 %, 46068 MiB, 35101 MiB
2023/12/12 09:20:18.900, NVIDIA A40, 00000000:61:00.0, 545.23.08, 65, 95 %, 84 %, 46068 MiB, 8757 MiB
2023/12/12 09:20:18.902, NVIDIA A40, 00000000:81:00.0, 545.23.08, 37, 0 %, 0 %, 46068 MiB, 35169 MiB
2023/12/12 09:20:18.903, NVIDIA A40, 00000000:A1:00.0, 545.23.08, 26, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 09:20:18.904, NVIDIA A40, 00000000:C1:00.0, 545.23.08, 25, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 09:20:18.905, NVIDIA A40, 00000000:E1:00.0, 545.23.08, 65, 100 %, 61 %, 46068 MiB, 8294 MiB
2023/12/12 09:21:18.905, NVIDIA A40, 00000000:01:00.0, 545.23.08, 32, 9 %, 0 %, 46068 MiB, 45077 MiB
2023/12/12 09:21:18.906, NVIDIA A40, 00000000:23:00.0, 545.23.08, 25, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 09:21:18.906, NVIDIA A40, 00000000:41:00.0, 545.23.08, 39, 1 %, 1 %, 46068 MiB, 35101 MiB
2023/12/12 09:21:18.907, NVIDIA A40, 00000000:61:00.0, 545.23.08, 65, 95 %, 84 %, 46068 MiB, 8757 MiB
2023/12/12 09:21:18.907, NVIDIA A40, 00000000:81:00.0, 545.23.08, 36, 6 %, 1 %, 46068 MiB, 35169 MiB
2023/12/12 09:21:18.908, NVIDIA A40, 00000000:A1:00.0, 545.23.08, 26, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 09:21:18.908, NVIDIA A40, 00000000:C1:00.0, 545.23.08, 25, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 09:21:18.909, NVIDIA A40, 00000000:E1:00.0, 545.23.08, 65, 100 %, 39 %, 46068 MiB, 8294 MiB
2023/12/12 09:22:18.910, NVIDIA A40, 00000000:01:00.0, 545.23.08, 32, 0 %, 0 %, 46068 MiB, 45077 MiB
2023/12/12 09:22:18.911, NVIDIA A40, 00000000:23:00.0, 545.23.08, 25, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 09:22:18.911, NVIDIA A40, 00000000:41:00.0, 545.23.08, 38, 4 %, 1 %, 46068 MiB, 35101 MiB
